"site","utterance","goal","state","subid"
"India","amazing","honest",5,"34"
"India","bad","nice",3,"35"
"India","terrible","honest",1,"35"
"India","amazing","mean",1,"35"
"India","terrible","nice",3,"35"
"India","bad","honest",1,"35"
"India","good","honest",5,"35"
"India","amazing","nice",4,"35"
"India","amazing","honest",5,"35"
"India","good","mean",1,"35"
"India","okay","mean",2,"35"
"India","good","nice",4,"35"
"India","okay","honest",4,"35"
"India","bad","mean",1,"35"
"India","okay","nice",3,"35"
"India","terrible","mean",2,"35"
"India","bad","nice",3,"36"
"India","good","honest",5,"36"
"India","terrible","mean",2,"36"
"India","terrible","honest",5,"36"
"India","okay","mean",1,"36"
"India","amazing","honest",5,"36"
"India","bad","honest",5,"36"
"India","okay","nice",2,"36"
"India","good","nice",2,"36"
"India","terrible","nice",2,"36"
"India","okay","honest",1,"36"
"India","amazing","nice",1,"36"
"India","amazing","mean",1,"36"
"India","bad","mean",5,"36"
"India","good","mean",1,"36"
"India","terrible","mean",4,"38"
"India","okay","honest",2,"38"
"India","good","mean",1,"38"
"India","okay","nice",1,"38"
"India","terrible","nice",2,"38"
"India","terrible","honest",2,"38"
"India","bad","honest",1,"38"
"India","amazing","mean",1,"38"
"India","amazing","honest",5,"38"
"India","bad","nice",2,"38"
"India","bad","mean",4,"38"
"India","good","honest",5,"38"
"India","okay","mean",4,"38"
"India","good","nice",5,"38"
"India","amazing","nice",5,"38"
"India","amazing","honest",4,"40"
"India","good","mean",3,"40"
"India","amazing","mean",4,"40"
"India","good","honest",4,"40"
"India","okay","mean",2,"40"
"India","good","nice",3,"40"
"India","terrible","nice",4,"40"
"India","terrible","mean",4,"40"
"India","okay","nice",2,"40"
"India","bad","honest",1,"40"
"India","okay","honest",2,"40"
"India","bad","mean",1,"40"
"India","bad","nice",1,"40"
"India","amazing","nice",4,"40"
"India","terrible","honest",4,"40"
"India","amazing","honest",4,"41"
"India","amazing","mean",2,"41"
"India","terrible","nice",3,"41"
"India","good","mean",2,"41"
"India","bad","mean",3,"41"
"India","bad","nice",2,"41"
"India","good","honest",4,"41"
"India","bad","honest",1,"41"
"India","terrible","mean",3,"41"
"India","good","nice",3,"41"
"India","okay","honest",3,"41"
"India","okay","mean",4,"41"
"India","okay","nice",4,"41"
"India","terrible","honest",2,"41"
"India","amazing","nice",4,"41"
"India","bad","nice",1,"42"
"India","bad","mean",2,"42"
"India","okay","mean",1,"42"
"India","amazing","mean",1,"42"
"India","bad","honest",3,"42"
"India","terrible","mean",1,"42"
"India","good","mean",4,"42"
"India","good","nice",5,"42"
"India","terrible","honest",5,"42"
"India","good","honest",5,"42"
"India","terrible","nice",4,"42"
"India","okay","nice",5,"42"
"India","amazing","honest",5,"42"
"India","okay","honest",5,"42"
"India","amazing","nice",5,"42"
"India","terrible","nice",1,"43"
"India","okay","mean",4,"43"
"India","amazing","honest",5,"43"
"India","good","mean",3,"43"
"India","good","honest",5,"43"
"India","amazing","mean",2,"43"
"India","terrible","mean",5,"43"
"India","amazing","nice",3,"43"
"India","good","nice",3,"43"
"India","bad","nice",1,"43"
"India","bad","honest",2,"43"
"India","bad","mean",4,"43"
"India","terrible","honest",1,"43"
"India","okay","nice",3,"43"
"India","okay","honest",3,"43"
"India","good","nice",2,"45"
"India","terrible","nice",1,"45"
"India","amazing","mean",1,"45"
"India","good","mean",2,"45"
"India","okay","mean",4,"45"
"India","bad","honest",1,"45"
"India","bad","mean",4,"45"
"India","bad","nice",1,"45"
"India","terrible","honest",1,"45"
"India","good","honest",5,"45"
"India","terrible","mean",5,"45"
"India","okay","honest",3,"45"
"India","amazing","nice",2,"45"
"India","amazing","honest",5,"45"
"India","okay","nice",1,"45"
"India","okay","mean",4,"47"
"India","good","nice",4,"47"
"India","amazing","nice",4,"47"
"India","bad","mean",4,"47"
"India","terrible","mean",5,"47"
"India","terrible","nice",3,"47"
"India","okay","nice",3,"47"
"India","amazing","honest",5,"47"
"India","good","mean",5,"47"
"India","bad","honest",2,"47"
"India","good","honest",3,"47"
"India","amazing","mean",1,"47"
"India","okay","honest",3,"47"
"India","terrible","honest",1,"47"
"India","bad","nice",2,"47"
"India","terrible","mean",4,"48"
"India","amazing","honest",2,"48"
"India","bad","nice",2,"48"
"India","good","honest",2,"48"
"India","okay","nice",1,"48"
"India","terrible","nice",5,"48"
"India","bad","honest",5,"48"
"India","terrible","honest",1,"48"
"India","bad","mean",3,"48"
"India","good","mean",1,"48"
"India","okay","mean",2,"48"
"India","amazing","nice",4,"48"
"India","amazing","mean",2,"48"
"India","good","nice",3,"48"
"India","okay","honest",4,"48"
