subid,goal,trial,item,positivity,utterance,judgment
anon-16,informative,8,recital,pos,terrible,1
anon-16,social,9,cookie,pos,terrible,1
anon-16,both,10,cookie,neg,bad,3
anon-16,both,11,app,neg,good,2
anon-16,no_goal,12,painting,pos,terrible,1
anon-16,social,13,song,neg,terrible,2
anon-16,informative,14,cookie,pos,good,4
anon-16,no_goal,15,recital,neg,bad,3
anon-16,informative,16,painting,neg,okay,2
anon-16,no_goal,17,song,pos,bad,2
anon-16,informative,18,poem,pos,bad,2
anon-16,both,19,review,neg,terrible,3
anon-16,informative,20,review,pos,okay,3
anon-16,no_goal,21,cookie,neg,amazing,2
anon-16,informative,22,song,neg,good,2
anon-16,both,23,film,pos,okay,3
anon-16,no_goal,24,solo,pos,amazing,5
anon-16,social,25,cake,pos,good,3
anon-16,both,26,monologue,neg,okay,2
anon-16,both,27,recital,pos,good,4
anon-16,no_goal,28,dance,pos,okay,3
anon-16,social,29,painting,pos,amazing,4
anon-16,informative,30,app,neg,terrible,2
anon-16,both,31,solo,pos,bad,2
anon-16,no_goal,32,poem,neg,okay,2
anon-16,social,33,monologue,pos,bad,2
anon-16,informative,34,cake,neg,bad,3
anon-16,social,35,app,pos,okay,2
anon-16,both,36,poem,pos,amazing,5
anon-16,no_goal,37,review,neg,good,2
anon-16,social,38,film,neg,amazing,3
anon-16,no_goal,39,film,neg,terrible,2
anon-16,social,40,dance,neg,bad,2
anon-17,both,1,dance,pos,terrible,2
anon-17,no_goal,2,dance,pos,good,3
anon-17,no_goal,3,poem,neg,terrible,3
anon-17,no_goal,4,monologue,neg,bad,3
anon-17,no_goal,5,presentation,pos,amazing,4
anon-17,no_goal,6,recital,pos,terrible,2
anon-17,informative,7,cookie,pos,bad,2
anon-17,both,8,review,neg,amazing,3
anon-17,social,9,solo,neg,terrible,3
anon-17,informative,10,monologue,pos,terrible,1
anon-17,social,11,poem,neg,amazing,3
anon-17,social,12,review,pos,good,4
anon-17,no_goal,13,film,pos,okay,3
anon-17,informative,14,film,neg,amazing,3
anon-17,no_goal,15,solo,pos,bad,2
anon-17,both,16,painting,neg,okay,2
anon-17,social,17,painting,pos,bad,2
anon-17,both,18,poem,pos,okay,3
anon-17,both,19,song,neg,bad,3
anon-17,social,20,song,pos,terrible,2
anon-17,social,21,dance,neg,okay,2
anon-17,informative,22,app,neg,terrible,3
anon-17,social,23,app,pos,okay,3
anon-17,no_goal,24,song,neg,amazing,3
anon-17,both,25,cake,neg,terrible,3
anon-17,informative,26,song,pos,good,4
anon-17,informative,27,recital,neg,okay,2
anon-17,informative,28,solo,neg,good,2
anon-17,social,29,recital,pos,amazing,4
anon-17,both,30,presentation,pos,bad,2
anon-17,social,31,film,neg,bad,3
anon-17,informative,32,painting,pos,amazing,4
anon-17,no_goal,33,cookie,neg,okay,2
anon-17,both,34,monologue,pos,good,4
anon-17,no_goal,35,cake,neg,good,2
anon-17,both,36,cookie,pos,amazing,4
anon-17,both,37,app,neg,good,2
anon-17,informative,38,cake,pos,okay,3
anon-17,informative,39,review,neg,bad,3
anon-17,social,40,presentation,neg,good,2
anon-18,both,1,recital,pos,good,4
anon-18,social,2,poem,pos,terrible,1
anon-18,both,3,solo,pos,okay,3
anon-18,no_goal,4,cake,pos,good,4
anon-18,social,5,solo,neg,amazing,2
anon-18,informative,6,painting,neg,terrible,2
anon-18,informative,7,dance,neg,good,1
anon-18,informative,8,presentation,pos,okay,3
anon-18,informative,9,app,neg,okay,3
anon-18,social,10,cake,neg,okay,2
anon-18,no_goal,11,presentation,neg,good,2
anon-18,both,12,cookie,pos,amazing,5
anon-18,both,13,presentation,neg,terrible,3
anon-18,both,14,film,neg,amazing,1
anon-18,both,15,cake,pos,terrible,1
anon-18,no_goal,16,cookie,neg,okay,2
anon-18,both,17,painting,neg,good,2
anon-18,social,18,song,neg,bad,3
anon-18,informative,19,poem,pos,good,4
anon-18,no_goal,20,app,pos,terrible,1
anon-18,both,21,monologue,neg,okay,1
anon-18,no_goal,22,review,pos,amazing,5
anon-18,no_goal,23,poem,neg,amazing,1
anon-18,no_goal,24,recital,neg,bad,1
anon-18,social,25,monologue,pos,bad,1
anon-18,social,26,review,neg,good,3
anon-18,no_goal,27,dance,pos,bad,1
anon-18,both,28,poem,neg,bad,3
anon-18,informative,29,song,neg,amazing,3
anon-18,informative,30,recital,pos,terrible,1
anon-18,informative,31,monologue,pos,amazing,5
anon-18,informative,32,cookie,pos,bad,3
anon-18,no_goal,33,song,pos,okay,3
anon-18,social,34,painting,pos,okay,3
anon-18,social,35,film,pos,good,4
anon-18,social,36,app,pos,amazing,5
anon-18,no_goal,37,solo,neg,terrible,3
anon-18,informative,38,film,neg,bad,3
anon-18,social,39,dance,neg,terrible,3
anon-18,both,40,review,pos,bad,1
anon-19,social,1,song,neg,okay,1
anon-19,both,2,cookie,neg,bad,2
anon-19,social,3,solo,neg,amazing,2
anon-19,social,4,recital,pos,amazing,5
anon-19,informative,5,dance,pos,bad,1
anon-19,no_goal,6,film,pos,okay,3
anon-19,informative,7,poem,neg,terrible,2
anon-19,both,8,app,pos,good,4
anon-19,no_goal,9,painting,pos,bad,1
anon-19,informative,10,cake,pos,okay,3
anon-19,both,11,solo,pos,okay,3
anon-19,social,12,monologue,neg,good,1
anon-19,no_goal,13,solo,neg,terrible,2
anon-19,social,14,review,pos,good,4
anon-19,both,15,monologue,pos,bad,1
anon-19,both,16,poem,neg,good,2
anon-19,no_goal,17,app,neg,bad,2
anon-19,both,18,cake,neg,terrible,2
anon-19,social,19,film,neg,bad,2
anon-19,informative,20,recital,neg,okay,2
anon-19,informative,21,film,neg,amazing,2
anon-19,social,22,poem,pos,okay,3
anon-19,social,23,cookie,pos,terrible,1
anon-19,informative,24,app,pos,terrible,1
anon-19,social,25,painting,neg,terrible,2
anon-19,informative,26,cookie,pos,good,4
anon-19,no_goal,27,song,pos,good,4
anon-19,no_goal,28,monologue,pos,amazing,5
anon-19,social,29,presentation,pos,bad,1
anon-19,no_goal,30,cookie,neg,amazing,2
anon-19,both,31,song,pos,terrible,1
anon-19,both,32,presentation,neg,okay,2
anon-19,both,33,review,neg,amazing,2
anon-19,no_goal,34,cake,neg,good,2
anon-19,no_goal,35,dance,neg,okay,2
anon-19,both,36,dance,pos,amazing,5
anon-19,informative,37,review,neg,bad,2
anon-19,no_goal,38,recital,pos,terrible,1
anon-19,informative,39,painting,neg,good,2
anon-19,informative,40,presentation,pos,amazing,5
anon-2,social,1,cookie,neg,bad,3
anon-2,no_goal,2,dance,pos,terrible,1
anon-2,both,3,cake,neg,good,3
anon-2,no_goal,4,presentation,neg,amazing,3
anon-2,social,5,presentation,pos,terrible,2
anon-2,both,6,poem,pos,amazing,3
anon-2,both,7,song,pos,good,4
anon-2,both,8,monologue,neg,okay,2
anon-2,both,9,app,pos,okay,3
anon-2,both,10,recital,pos,terrible,1
anon-2,no_goal,11,solo,pos,amazing,4
anon-2,no_goal,12,recital,pos,good,3
anon-2,no_goal,13,song,neg,bad,3
anon-2,both,14,solo,pos,bad,2
anon-2,social,15,recital,neg,okay,3
anon-2,informative,16,review,neg,good,2
anon-2,no_goal,17,poem,neg,okay,3
anon-2,social,18,monologue,pos,bad,2
anon-2,informative,19,cookie,neg,amazing,2
anon-2,social,20,dance,pos,amazing,4
anon-2,no_goal,21,cookie,pos,okay,3
anon-2,informative,22,monologue,pos,amazing,5
anon-2,informative,23,dance,neg,okay,2
anon-2,no_goal,24,review,pos,bad,2
anon-2,both,25,film,neg,amazing,3
anon-2,informative,26,film,neg,bad,3
anon-2,informative,27,presentation,pos,good,3
anon-2,informative,28,song,pos,terrible,1
anon-2,no_goal,29,painting,neg,good,3
anon-2,both,30,presentation,neg,bad,3
anon-2,informative,31,poem,pos,bad,2
anon-2,social,32,review,neg,terrible,2
anon-2,social,33,solo,neg,good,2
anon-2,social,34,app,neg,amazing,3
anon-2,no_goal,35,app,neg,terrible,2
anon-2,social,36,cake,pos,okay,3
anon-2,informative,37,painting,pos,okay,3
anon-2,social,38,film,pos,good,3
anon-2,informative,39,cake,neg,terrible,2
anon-2,both,40,painting,neg,terrible,2
anon-20,social,1,presentation,neg,okay,2
anon-20,no_goal,2,song,neg,terrible,4
anon-20,no_goal,3,presentation,pos,good,5
anon-20,no_goal,4,monologue,neg,bad,3
anon-20,social,5,cake,pos,good,2
anon-20,both,6,solo,neg,bad,3
anon-20,both,7,recital,neg,okay,2
anon-20,informative,8,review,neg,amazing,2
anon-20,social,9,solo,pos,terrible,1
anon-20,informative,10,cookie,neg,terrible,3
anon-20,informative,11,painting,pos,okay,3
anon-20,no_goal,12,solo,neg,amazing,1
anon-20,social,13,app,neg,good,3
anon-20,informative,14,dance,neg,good,1
anon-20,both,15,presentation,pos,terrible,2
anon-20,both,16,song,pos,okay,3
anon-20,informative,17,recital,pos,amazing,5
anon-20,no_goal,18,film,neg,okay,2
anon-20,both,19,cake,neg,amazing,1
anon-20,both,20,cookie,neg,good,2
anon-20,no_goal,21,poem,pos,terrible,1
anon-20,both,22,film,pos,amazing,2
anon-20,informative,23,poem,neg,okay,2
anon-20,no_goal,24,review,pos,okay,3
anon-20,social,25,song,neg,amazing,2
anon-20,both,26,painting,neg,terrible,4
anon-20,both,27,app,pos,bad,2
anon-20,informative,28,monologue,pos,terrible,1
anon-20,informative,29,film,pos,bad,1
anon-20,informative,30,solo,pos,good,4
anon-20,informative,31,cake,neg,bad,4
anon-20,social,32,recital,pos,bad,2
anon-20,no_goal,33,dance,pos,bad,2
anon-20,social,34,dance,neg,terrible,2
anon-20,social,35,review,neg,bad,2
anon-20,both,36,monologue,pos,good,2
anon-20,no_goal,37,app,pos,amazing,5
anon-20,social,38,cookie,pos,okay,2
anon-20,no_goal,39,painting,neg,good,1
anon-20,social,40,poem,pos,amazing,2
anon-21,both,1,cookie,pos,good,3
anon-21,informative,2,solo,pos,okay,3
anon-21,both,3,solo,neg,terrible,2
anon-21,both,4,film,pos,okay,3
anon-21,no_goal,5,solo,neg,good,1
anon-21,informative,6,presentation,neg,terrible,2
anon-21,no_goal,7,monologue,pos,amazing,5
anon-21,informative,8,poem,neg,good,1
anon-21,both,9,review,neg,okay,1
anon-21,no_goal,10,cookie,neg,bad,3
anon-21,no_goal,11,recital,pos,good,4
anon-21,informative,12,cake,pos,bad,3
anon-21,informative,13,app,neg,okay,1
anon-21,both,14,dance,neg,amazing,2
anon-21,no_goal,15,poem,pos,bad,1
anon-21,informative,16,dance,neg,bad,3
anon-21,social,17,recital,neg,okay,1
anon-21,no_goal,18,app,pos,terrible,1
anon-21,social,19,painting,neg,bad,2
anon-21,no_goal,20,film,neg,terrible,2
