"subid","trial","knowledge","true_state","utterance","goal","goal_prob"
"7",5,"unknown","good","okay","honest",0.5
"7",6,"unknown","terrible","bad","honest",0.5
"7",7,"unknown","amazing","good","honest",0.3
"7",8,"unknown","bad","amazing","honest",0.05
"7",9,"unknown","terrible","good","honest",0.025
"7",10,"unknown","amazing","amazing","honest",0.725
"7",11,"unknown","bad","good","honest",0.25
"7",12,"unknown","okay","bad","honest",0.2
"7",13,"unknown","terrible","amazing","honest",0.05
"7",14,"unknown","okay","terrible","honest",0.225
"7",15,"unknown","okay","okay","honest",0.925
"7",16,"unknown","amazing","okay","honest",0.5
"7",17,"unknown","bad","okay","honest",0.25
"7",18,"unknown","good","bad","honest",0.25
"7",19,"unknown","terrible","okay","honest",0.225
"7",20,"unknown","okay","good","honest",0.5
"7",21,"unknown","amazing","terrible","honest",0
"7",22,"unknown","okay","amazing","honest",0.225
"7",23,"unknown","amazing","bad","honest",0.075
"7",24,"unknown","good","terrible","honest",0.2
"7",25,"unknown","bad","terrible","honest",0.775
"7",1,"unknown","terrible","terrible","honest",0.25
"7",2,"unknown","good","terrible","honest",0.25
"7",3,"unknown","good","amazing","honest",0.75
"7",4,"unknown","okay","amazing","honest",0.675
"7",5,"unknown","good","okay","honest",0.75
"7",6,"unknown","amazing","good","honest",0.75
"7",7,"unknown","amazing","amazing","honest",0.75
"7",8,"unknown","bad","terrible","honest",0.275
"7",9,"unknown","terrible","bad","honest",0.275
"7",10,"unknown","good","bad","honest",0.35
"7",11,"unknown","terrible","good","honest",0.75
"7",12,"unknown","amazing","bad","honest",0.275
"7",13,"unknown","bad","amazing","honest",0.65
"7",14,"unknown","terrible","okay","honest",0.8
"7",15,"unknown","okay","bad","honest",0.175
"7",16,"unknown","okay","good","honest",0.725
"7",17,"unknown","amazing","okay","honest",0.75
"7",18,"unknown","bad","okay","honest",0.875
"7",19,"unknown","okay","terrible","honest",0.1
"7",20,"unknown","good","good","honest",0.75
"7",21,"unknown","bad","bad","honest",0.4
"7",22,"unknown","bad","good","honest",0.825
"7",23,"unknown","amazing","terrible","honest",0.225
"7",24,"unknown","terrible","amazing","honest",0.8
"7",25,"unknown","okay","okay","honest",0.725
"8",1,"unknown","terrible","terrible","honest",0.75
"8",2,"unknown","okay","bad","honest",0.075
"8",3,"unknown","good","terrible","honest",0.025
"8",4,"unknown","amazing","good","honest",0.075
"8",5,"unknown","amazing","bad","honest",0.4
"8",6,"unknown","good","okay","honest",0.575
"8",7,"unknown","amazing","terrible","honest",0.3
"8",8,"unknown","good","good","honest",0.575
"8",9,"unknown","bad","terrible","honest",0.45
"8",10,"unknown","bad","okay","honest",0.75
"8",11,"unknown","bad","bad","honest",0.5
"8",12,"unknown","terrible","bad","honest",0.4
"8",13,"unknown","okay","terrible","honest",0.45
"8",14,"unknown","good","bad","honest",0.35
"8",15,"unknown","okay","good","honest",0.65
"8",16,"unknown","amazing","okay","honest",0.625
"8",17,"unknown","amazing","amazing","honest",0.575
"8",18,"unknown","good","amazing","honest",0.65
"8",19,"unknown","okay","amazing","honest",0.625
"8",20,"unknown","okay","okay","honest",0.85
"8",21,"unknown","terrible","good","honest",0.9
"8",22,"unknown","bad","good","honest",0.675
"8",23,"unknown","bad","amazing","honest",0.7
"8",24,"unknown","terrible","okay","honest",0.175
"8",25,"unknown","terrible","amazing","honest",0.275
"9",1,"known","good","amazing","honest",0.825
"9",2,"known","good","good","honest",1
"9",3,"known","good","terrible","honest",0
"9",4,"known","bad","terrible","honest",1
"9",5,"known","good","bad","honest",0
"9",6,"known","terrible","okay","honest",0
"9",7,"known","terrible","terrible","honest",0.9
"9",8,"known","bad","amazing","honest",0
"9",9,"known","okay","terrible","honest",0
"9",10,"known","terrible","good","honest",0
"9",11,"known","okay","amazing","honest",0.175
"9",12,"known","amazing","bad","honest",0
"9",13,"known","amazing","okay","honest",0
"9",14,"known","okay","good","honest",0.4
"9",15,"known","terrible","amazing","honest",0
"9",16,"known","amazing","good","honest",0.6
"9",17,"known","okay","okay","honest",1
"9",18,"known","terrible","bad","honest",0.8
"9",19,"known","bad","bad","honest",1
"9",20,"known","amazing","amazing","honest",1
"9",21,"known","bad","okay","honest",0.15
"9",22,"known","amazing","terrible","honest",0
"9",23,"known","bad","good","honest",0
"9",24,"known","okay","bad","honest",0.325
"9",25,"known","good","okay","honest",0.375
"10",1,"unknown","terrible","bad","nice",0
"10",2,"unknown","amazing","bad","nice",0.025
"10",3,"unknown","okay","bad","nice",0
"10",4,"unknown","amazing","good","nice",0.85
"10",5,"unknown","terrible","okay","nice",0.975
"10",6,"unknown","bad","amazing","nice",1
"10",7,"unknown","okay","okay","nice",0.75
"10",8,"unknown","good","okay","nice",0.625
"10",9,"unknown","amazing","terrible","nice",0.025
"10",10,"unknown","terrible","good","nice",0.975
"10",11,"unknown","terrible","terrible","nice",0
"10",12,"unknown","good","bad","nice",0.025
"10",13,"unknown","amazing","amazing","nice",0.975
"10",14,"unknown","bad","terrible","nice",0.05
"10",15,"unknown","bad","bad","nice",0
"10",16,"unknown","good","good","nice",1
"10",17,"unknown","okay","good","nice",1
"10",18,"unknown","terrible","amazing","nice",0.95
"10",19,"unknown","good","amazing","nice",0.975
"10",20,"unknown","good","terrible","nice",0
"10",21,"unknown","bad","okay","nice",0.85
"10",22,"unknown","amazing","okay","nice",0.225
"10",23,"unknown","okay","amazing","nice",1
"10",24,"unknown","okay","terrible","nice",0.025
"10",25,"unknown","bad","good","nice",0.925
"11",1,"known","terrible","bad","mean",0.25
"11",2,"known","amazing","okay","mean",0.55
"11",3,"known","okay","amazing","mean",0
"11",4,"known","okay","okay","mean",0.175
"11",5,"known","okay","terrible","mean",0.8
"11",6,"known","okay","bad","mean",0.75
"11",7,"known","bad","amazing","mean",0
"11",8,"known","good","amazing","mean",0.025
"11",9,"known","terrible","okay","mean",0
"11",10,"known","okay","good","mean",0.1
"11",11,"known","amazing","amazing","mean",0.025
"11",12,"known","good","good","mean",0
"11",13,"known","good","okay","mean",0
"11",14,"known","bad","terrible","mean",0.225
"11",15,"known","bad","bad","mean",0.325
"11",16,"known","bad","good","mean",0
"11",17,"known","amazing","bad","mean",0.95
"11",18,"known","terrible","terrible","mean",0.3
"11",19,"known","bad","okay","mean",0
"11",20,"known","amazing","good","mean",0.425
"11",21,"known","good","bad","mean",1
"11",22,"known","terrible","good","mean",0.2
"11",23,"known","good","terrible","mean",0.725
"11",24,"known","amazing","terrible","mean",1
"11",25,"known","terrible","amazing","mean",0
"12",1,"known","terrible","bad","honest",0.925
"12",2,"known","good","good","honest",0.9
"12",3,"known","terrible","good","honest",0.025
"12",4,"known","amazing","terrible","honest",0.1
"12",5,"known","good","bad","honest",0.075
"12",6,"known","bad","terrible","honest",0.925
"12",7,"known","okay","okay","honest",0.875
"12",8,"known","okay","terrible","honest",0.5
"12",9,"known","amazing","good","honest",0.75
"12",10,"known","good","terrible","honest",0.2
"12",11,"known","good","okay","honest",0.5
"12",12,"known","terrible","okay","honest",0.2
"12",13,"known","okay","good","honest",0.575
"12",14,"known","amazing","okay","honest",0.5
"12",15,"known","okay","bad","honest",0.35
"12",16,"known","terrible","terrible","honest",0.875
"12",17,"known","bad","bad","honest",0.6
"12",18,"known","bad","amazing","honest",0.1
"12",19,"known","good","amazing","honest",0.5
"12",20,"known","amazing","bad","honest",0.075
"12",21,"known","amazing","amazing","honest",0.9
"12",22,"known","bad","good","honest",0.125
"12",23,"known","terrible","amazing","honest",0.125
"12",24,"known","okay","amazing","honest",0.5
"12",25,"known","bad","okay","honest",0.2
"13",1,"unknown","terrible","amazing","nice",0.825
"13",2,"unknown","okay","amazing","nice",0.875
"13",3,"unknown","okay","bad","nice",0.025
"13",4,"unknown","amazing","terrible","nice",0
"13",5,"unknown","bad","okay","nice",0.8
"13",6,"unknown","good","terrible","nice",0
"13",7,"unknown","okay","okay","nice",0.5
"13",8,"unknown","good","bad","nice",0.025
"13",9,"unknown","good","okay","nice",0.375
"13",10,"unknown","terrible","good","nice",0.875
"13",11,"unknown","amazing","good","nice",0.575
"13",12,"unknown","terrible","terrible","nice",0.225
"13",13,"unknown","amazing","bad","nice",0
"13",14,"unknown","amazing","amazing","nice",0.675
"13",15,"unknown","okay","terrible","nice",0
"13",16,"unknown","bad","good","nice",0.65
"13",17,"unknown","bad","bad","nice",0.375
"13",18,"unknown","good","good","nice",0.65
"13",19,"unknown","terrible","okay","nice",0.85
"13",20,"unknown","bad","amazing","nice",0.725
"13",21,"unknown","terrible","bad","nice",0.5
"13",22,"unknown","bad","terrible","nice",0.1
"13",23,"unknown","okay","good","nice",0.8
"13",24,"unknown","good","amazing","nice",0.925
"13",25,"unknown","amazing","okay","nice",0.15
"14",1,"known","bad","good","nice",0.75
"14",2,"known","okay","okay","nice",0.575
"14",3,"known","amazing","terrible","nice",0.175
"14",4,"known","terrible","amazing","nice",0.85
"14",5,"known","okay","terrible","nice",0.375
"14",6,"known","terrible","good","nice",0.9
"14",7,"known","good","terrible","nice",0.2
"14",8,"known","bad","okay","nice",0.675
"14",9,"known","good","good","nice",0.65
"14",10,"known","amazing","good","nice",0.675
"14",11,"known","amazing","bad","nice",0.125
"14",12,"known","bad","bad","nice",0.5
"14",13,"known","bad","terrible","nice",0.325
"14",14,"known","terrible","okay","nice",0.575
"14",15,"known","okay","bad","nice",0.35
"14",16,"known","good","bad","nice",0.225
"14",17,"known","okay","good","nice",0.85
"14",18,"known","amazing","okay","nice",0.375
"14",19,"known","good","amazing","nice",0.95
"14",20,"known","good","okay","nice",0.4
"14",21,"known","bad","amazing","nice",0.8
"14",22,"known","terrible","terrible","nice",0.5
"14",23,"known","terrible","bad","nice",0.65
"14",24,"known","amazing","amazing","nice",0.625
"14",25,"known","okay","amazing","nice",0.75
"15",1,"unknown","terrible","okay","mean",0.025
"15",2,"unknown","okay","terrible","mean",0.95
"15",3,"unknown","amazing","bad","mean",0.95
"15",4,"unknown","okay","okay","mean",0.05
"15",5,"unknown","okay","amazing","mean",0.05
"15",6,"unknown","amazing","terrible","mean",0.975
"15",7,"unknown","bad","amazing","mean",0.05
"15",8,"unknown","okay","good","mean",0.05
"15",9,"unknown","bad","good","mean",0.075
"15",10,"unknown","okay","bad","mean",0.95
"15",11,"unknown","terrible","good","mean",0.05
"15",12,"unknown","good","good","mean",0.025
"15",13,"unknown","bad","okay","mean",0.05
"15",14,"unknown","amazing","okay","mean",0.7
"15",15,"unknown","bad","terrible","mean",0.675
"15",16,"unknown","good","amazing","mean",0.05
"15",17,"unknown","bad","bad","mean",0.05
"15",18,"unknown","good","okay","mean",0.65
"15",19,"unknown","good","terrible","mean",0.925
"15",20,"unknown","terrible","amazing","mean",0.025
"15",21,"unknown","good","bad","mean",0.95
"15",22,"unknown","amazing","good","mean",0.675
"15",23,"unknown","terrible","bad","mean",0.95
"15",24,"unknown","terrible","terrible","mean",0.025
"15",25,"unknown","amazing","amazing","mean",0
"16",1,"unknown","good","bad","nice",0.35
"16",2,"unknown","amazing","bad","nice",0.225
"16",3,"unknown","good","good","nice",0.95
"16",4,"unknown","okay","okay","nice",0.825
"16",5,"unknown","okay","good","nice",0.85
"16",6,"unknown","bad","good","nice",0.825
"16",7,"unknown","good","okay","nice",0.4
"16",8,"unknown","amazing","okay","nice",0.325
"16",9,"unknown","bad","okay","nice",0.725
"16",10,"unknown","terrible","amazing","nice",0.95
"16",11,"unknown","bad","amazing","nice",0.875
"16",12,"unknown","terrible","good","nice",0.9
"16",13,"unknown","terrible","bad","nice",0.225
"16",14,"unknown","amazing","good","nice",0.7
"16",15,"unknown","okay","bad","nice",0.275
"16",16,"unknown","okay","terrible","nice",0.15
"16",17,"unknown","bad","terrible","nice",0.35
"16",18,"unknown","good","terrible","nice",0.025
"16",19,"unknown","amazing","amazing","nice",0.9
"16",20,"unknown","amazing","terrible","nice",0.025
"16",21,"unknown","good","amazing","nice",0.8
"16",22,"unknown","terrible","terrible","nice",0.15
"16",23,"unknown","okay","amazing","nice",0.675
"16",24,"unknown","terrible","okay","nice",0.65
"16",25,"unknown","bad","bad","nice",0.2
"17",1,"unknown","bad","bad","mean",0.825
"17",2,"unknown","amazing","okay","mean",0
"17",3,"unknown","bad","good","mean",0.05
"17",4,"unknown","terrible","good","mean",0
"17",5,"unknown","good","terrible","mean",0.4
"17",6,"unknown","good","okay","mean",0.425
"17",7,"unknown","amazing","good","mean",0.075
"17",8,"unknown","okay","amazing","mean",0.5
"17",9,"unknown","amazing","terrible","mean",0.95
"17",10,"unknown","amazing","amazing","mean",0.025
"17",11,"unknown","okay","okay","mean",0.025
"17",12,"unknown","okay","good","mean",0.05
"17",13,"unknown","bad","amazing","mean",0.275
"17",14,"unknown","okay","bad","mean",0.6
"17",15,"unknown","good","amazing","mean",0
"17",16,"unknown","bad","okay","mean",0.5
"17",17,"unknown","good","good","mean",0.05
"17",18,"unknown","terrible","terrible","mean",0.5
"17",19,"unknown","terrible","okay","mean",0.35
"17",20,"unknown","amazing","bad","mean",0.875
"17",21,"unknown","good","bad","mean",0.775
"17",22,"unknown","terrible","amazing","mean",0.6
"17",23,"unknown","terrible","bad","mean",0.225
"17",24,"unknown","okay","terrible","mean",0.825
"17",25,"unknown","bad","terrible","mean",0.5
"18",1,"unknown","bad","good","honest",0.25
"18",2,"unknown","okay","okay","honest",0.975
"18",3,"unknown","bad","terrible","honest",1
"18",4,"unknown","good","good","honest",1
"18",5,"unknown","bad","okay","honest",0.275
"18",6,"unknown","terrible","good","honest",0
"18",7,"unknown","okay","bad","honest",0.225
"18",8,"unknown","bad","amazing","honest",0
"18",9,"unknown","good","bad","honest",0
"18",10,"unknown","okay","terrible","honest",0.5
"18",11,"unknown","terrible","terrible","honest",1
"18",12,"unknown","amazing","terrible","honest",0
"18",13,"unknown","bad","bad","honest",1
"18",14,"unknown","good","amazing","honest",0.275
"18",15,"unknown","good","okay","honest",1
"18",16,"unknown","terrible","bad","honest",1
"18",17,"unknown","okay","amazing","honest",0.2
"18",18,"unknown","amazing","amazing","honest",1
"18",19,"unknown","terrible","amazing","honest",0
"18",20,"unknown","good","terrible","honest",0
"18",21,"unknown","amazing","okay","honest",0.225
"18",22,"unknown","amazing","bad","honest",0
"18",23,"unknown","okay","good","honest",0.25
"18",24,"unknown","amazing","good","honest",0.275
"18",25,"unknown","terrible","okay","honest",0.275
"19",1,"known","terrible","amazing","mean",0.025
"19",2,"known","terrible","good","mean",0.025
"19",3,"known","good","bad","mean",1
"19",4,"known","good","amazing","mean",0
"19",5,"known","amazing","terrible","mean",1
"19",6,"known","bad","bad","mean",0.25
"19",7,"known","bad","good","mean",0
"19",8,"known","bad","okay","mean",0
"19",9,"known","terrible","bad","mean",0.25
"19",10,"known","okay","bad","mean",1
"19",11,"known","amazing","good","mean",0.3
