"subid","goal","true_state","utterance"
"84","informative","2","not_bad"
"84","both","2","not_bad"
"84","both","3","not_okay"
"84","both","5","not_amazing"
"84","both","1","yes_amazing"
"84","both","4","not_good"
"84","social","3","not_okay"
"84","social","2","yes_good"
"84","social","4","not_good"
"84","social","1","not_terrible"
"84","social","5","not_amazing"
"94","both","1","not_terrible"
"94","both","5","not_amazing"
"94","both","2","yes_good"
"94","both","4","not_good"
"94","both","3","not_okay"
"94","informative","2","yes_good"
"94","informative","3","not_okay"
"94","informative","5","not_amazing"
"94","informative","1","yes_good"
"94","informative","4","not_good"
"94","social","5","not_amazing"
"94","social","3","not_good"
"94","social","1","not_okay"
"94","social","2","yes_bad"
"94","social","4","not_good"
"95","informative","5","not_amazing"
"95","informative","1","not_terrible"
"95","informative","4","not_good"
"95","informative","2","yes_good"
"95","informative","3","not_okay"
"95","both","2","yes_terrible"
"95","both","1","yes_amazing"
"95","both","3","yes_bad"
"95","both","5","not_amazing"
"95","both","4","not_good"
"95","social","4","not_amazing"
"95","social","2","yes_bad"
"95","social","3","not_good"
"95","social","1","not_okay"
"95","social","5","not_amazing"
"102","social","1","yes_bad"
"102","social","4","not_good"
"102","social","3","not_good"
"102","social","2","yes_bad"
"102","social","5","not_amazing"
"102","informative","1","not_terrible"
"102","informative","2","not_bad"
"102","informative","3","not_okay"
"102","informative","4","not_good"
"102","informative","5","not_amazing"
"102","both","2","not_okay"
"102","both","4","not_good"
"102","both","1","yes_terrible"
"102","both","5","not_amazing"
"102","both","3","not_good"
"106","informative","1","yes_good"
"106","informative","2","yes_amazing"
"106","informative","5","not_amazing"
"106","informative","3","not_okay"
"106","informative","4","not_good"
"106","social","4","not_good"
"106","social","5","not_amazing"
"106","social","3","not_okay"
"106","social","2","yes_good"
"106","social","1","not_terrible"
"106","both","2","yes_good"
"106","both","4","not_good"
"106","both","3","not_okay"
"106","both","1","not_okay"
"106","both","5","not_amazing"
"108","informative","2","yes_good"
"108","informative","5","not_good"
"108","informative","1","yes_good"
"108","informative","4","not_okay"
"108","informative","3","yes_bad"
"108","both","1","not_okay"
"108","both","4","not_good"
"108","both","3","yes_bad"
"108","both","5","not_amazing"
"108","both","2","yes_bad"
"108","social","1","not_good"
"108","social","5","not_amazing"
"108","social","2","not_good"
"108","social","4","not_amazing"
"108","social","3","not_good"
"112","social","3","not_okay"
"112","social","4","not_good"
"112","social","5","not_amazing"
"112","social","2","yes_bad"
"112","social","1","yes_good"
"112","informative","5","not_amazing"
"112","informative","3","not_good"
"112","informative","1","yes_good"
"112","informative","2","yes_bad"
"112","informative","4","not_good"
"112","both","2","yes_good"
"112","both","3","not_good"
"112","both","4","not_good"
"112","both","1","not_bad"
"112","both","5","not_amazing"
"115","both","1","not_okay"
"115","both","4","not_good"
