"subid","trial","knowledge","true_state","utterance","goal","goal_prob","roundval"
22,13,"unknown","okay","terrible","nice",0.225,0.3
22,14,"unknown","amazing","okay","nice",0.5,0.5
22,15,"unknown","bad","bad","nice",0.3,0.3
22,16,"unknown","amazing","good","nice",0.675,0.7
22,17,"unknown","okay","okay","nice",0.725,0.7
22,18,"unknown","good","bad","nice",0.25,0.3
22,19,"unknown","bad","amazing","nice",0.7,0.7
22,20,"unknown","bad","good","nice",0.75,0.7
22,21,"unknown","okay","bad","nice",0.3,0.3
22,22,"unknown","good","good","nice",0.7,0.7
22,23,"unknown","terrible","okay","nice",0.7,0.7
22,24,"unknown","good","okay","nice",0.6,0.5
22,25,"unknown","terrible","amazing","nice",0.7,0.7
23,1,"unknown","terrible","okay","honest",0.25,0.3
23,2,"unknown","okay","okay","honest",1,0.9
23,3,"unknown","terrible","amazing","honest",0.05,0.1
23,4,"unknown","bad","terrible","honest",0.975,0.9
23,5,"unknown","amazing","terrible","honest",0.025,0.1
23,6,"unknown","bad","amazing","honest",0.25,0.3
23,7,"unknown","amazing","bad","honest",0.1,0.1
23,8,"unknown","bad","okay","honest",0.675,0.7
23,9,"unknown","terrible","terrible","honest",0.75,0.7
23,10,"unknown","good","amazing","honest",0.75,0.7
23,11,"unknown","amazing","okay","honest",0.3,0.3
23,12,"unknown","good","good","honest",0.975,0.9
23,13,"unknown","bad","good","honest",0.2,0.1
23,14,"unknown","terrible","bad","honest",0.725,0.7
23,15,"unknown","bad","bad","honest",1,0.9
23,16,"unknown","amazing","good","honest",0.75,0.7
23,17,"unknown","amazing","amazing","honest",0.95,0.9
23,18,"unknown","good","okay","honest",0.3,0.3
23,19,"unknown","terrible","good","honest",0.325,0.3
23,20,"unknown","okay","good","honest",0.725,0.7
23,21,"unknown","okay","terrible","honest",0.225,0.3
23,22,"unknown","good","terrible","honest",0.025,0.1
23,23,"unknown","good","bad","honest",0.05,0.1
23,24,"unknown","okay","bad","honest",0.225,0.3
23,25,"unknown","okay","amazing","honest",0.5,0.5
24,1,"unknown","okay","amazing","honest",0.275,0.3
24,2,"unknown","amazing","amazing","honest",0.925,0.9
24,3,"unknown","bad","bad","honest",0.7,0.7
24,4,"unknown","good","good","honest",0.75,0.7
24,5,"unknown","bad","amazing","honest",0.2,0.1
24,6,"unknown","good","terrible","honest",0.725,0.7
24,7,"unknown","amazing","good","honest",0.75,0.7
24,8,"unknown","okay","good","honest",0.5,0.5
24,9,"unknown","terrible","okay","honest",0.4,0.3
24,10,"unknown","bad","okay","honest",0.4,0.3
24,11,"unknown","good","bad","honest",0.15,0.1
24,12,"unknown","bad","good","honest",0.25,0.3
24,13,"unknown","okay","terrible","honest",0.325,0.3
24,14,"unknown","okay","okay","honest",0.775,0.7
24,15,"unknown","good","okay","honest",0.35,0.3
24,16,"unknown","good","amazing","honest",0.725,0.7
24,17,"unknown","amazing","okay","honest",0.275,0.3
24,18,"unknown","amazing","bad","honest",0.2,0.1
24,19,"unknown","terrible","amazing","honest",0.225,0.3
24,20,"unknown","terrible","good","honest",0.225,0.3
24,21,"unknown","terrible","bad","honest",0.825,0.9
24,22,"unknown","terrible","terrible","honest",0.875,0.9
24,23,"unknown","bad","terrible","honest",0.5,0.5
24,24,"unknown","okay","bad","honest",0.25,0.3
24,25,"unknown","amazing","terrible","honest",0.15,0.1
25,1,"unknown","terrible","good","nice",0.9,0.9
25,2,"unknown","amazing","bad","nice",0.025,0.1
25,3,"unknown","terrible","terrible","nice",0.125,0.1
25,4,"unknown","bad","amazing","nice",0.8,0.7
25,5,"unknown","okay","okay","nice",0.5,0.5
25,6,"unknown","bad","good","nice",0.775,0.7
25,7,"unknown","bad","bad","nice",0.15,0.1
25,8,"unknown","okay","bad","nice",0.2,0.1
25,9,"unknown","amazing","terrible","nice",0.025,0.1
25,10,"unknown","bad","terrible","nice",0.075,0.1
25,11,"unknown","good","good","nice",0.5,0.5
25,12,"unknown","okay","terrible","nice",0.15,0.1
25,13,"unknown","good","bad","nice",0.075,0.1
25,14,"unknown","terrible","okay","nice",0.675,0.7
25,15,"unknown","good","terrible","nice",0.05,0.1
25,16,"unknown","amazing","okay","nice",0.25,0.3
25,17,"unknown","terrible","bad","nice",0.2,0.1
25,18,"unknown","terrible","amazing","nice",0.85,0.9
25,19,"unknown","amazing","good","nice",0.5,0.5
25,20,"unknown","good","amazing","nice",0.725,0.7
25,21,"unknown","okay","amazing","nice",0.85,0.9
25,22,"unknown","bad","okay","nice",0.7,0.7
25,23,"unknown","okay","good","nice",0.7,0.7
25,24,"unknown","good","okay","nice",0.275,0.3
25,25,"unknown","amazing","amazing","nice",0.5,0.5
28,1,"unknown","okay","good","nice",0.975,0.9
28,2,"unknown","terrible","okay","nice",0.725,0.7
28,3,"unknown","amazing","good","nice",0.625,0.7
28,4,"unknown","terrible","amazing","nice",0.975,0.9
28,5,"unknown","bad","bad","nice",0.125,0.1
28,6,"unknown","amazing","okay","nice",0.625,0.7
28,7,"unknown","bad","good","nice",0.875,0.9
28,8,"unknown","amazing","terrible","nice",0,0.1
28,9,"unknown","good","terrible","nice",0,0.1
28,10,"unknown","okay","terrible","nice",0,0.1
28,11,"unknown","terrible","good","nice",0.875,0.9
28,12,"unknown","good","okay","nice",0.825,0.9
28,13,"unknown","amazing","amazing","nice",0.95,0.9
28,14,"unknown","bad","okay","nice",0.825,0.9
28,15,"unknown","bad","amazing","nice",0.95,0.9
28,16,"unknown","okay","amazing","nice",0.975,0.9
28,17,"unknown","amazing","bad","nice",0,0.1
28,18,"unknown","good","bad","nice",0,0.1
28,19,"unknown","okay","bad","nice",0,0.1
28,20,"unknown","terrible","bad","nice",0,0.1
28,21,"unknown","bad","terrible","nice",0,0.1
28,22,"unknown","good","amazing","nice",0.9,0.9
28,23,"unknown","good","good","nice",0.5,0.5
28,24,"unknown","terrible","terrible","nice",0.5,0.5
28,25,"unknown","okay","okay","nice",0.5,0.5
29,1,"unknown","good","amazing","nice",0.775,0.7
29,2,"unknown","good","terrible","nice",0.7,0.7
29,3,"unknown","bad","bad","nice",0.5,0.5
29,4,"unknown","okay","okay","nice",0.95,0.9
29,5,"unknown","bad","terrible","nice",0.9,0.9
29,6,"unknown","terrible","amazing","nice",1,0.9
29,7,"unknown","amazing","bad","nice",0.25,0.3
29,8,"unknown","okay","terrible","nice",0.7,0.7
29,9,"unknown","terrible","good","nice",0.8,0.7
29,10,"unknown","amazing","good","nice",0.7,0.7
29,11,"unknown","terrible","terrible","nice",0.7,0.7
29,12,"unknown","bad","amazing","nice",0.75,0.7
29,13,"unknown","amazing","amazing","nice",0.725,0.7
29,14,"unknown","good","good","nice",0.725,0.7
29,15,"unknown","bad","okay","nice",0.7,0.7
29,16,"unknown","amazing","okay","nice",0.675,0.7
29,17,"unknown","bad","good","nice",0.775,0.7
29,18,"unknown","okay","bad","nice",0.7,0.7
29,19,"unknown","amazing","terrible","nice",0.825,0.9
29,20,"unknown","okay","amazing","nice",0.675,0.7
29,21,"unknown","good","okay","nice",0.725,0.7
29,22,"unknown","okay","good","nice",0.7,0.7
29,23,"unknown","good","bad","nice",0.725,0.7
29,24,"unknown","terrible","okay","nice",0.4,0.3
29,25,"unknown","terrible","bad","nice",0.775,0.7
34,1,"unknown","bad","terrible","nice",0.475,0.5
34,2,"unknown","amazing","amazing","nice",0.25,0.3
34,3,"unknown","terrible","bad","nice",0.275,0.3
34,4,"unknown","terrible","terrible","nice",0.25,0.3
34,5,"unknown","okay","bad","nice",0.275,0.3
34,6,"unknown","bad","amazing","nice",0.95,0.9
34,7,"unknown","amazing","good","nice",0.425,0.5
34,8,"unknown","terrible","okay","nice",0.725,0.7
34,9,"unknown","okay","terrible","nice",0.2,0.1
34,10,"unknown","good","good","nice",0.475,0.5
34,11,"unknown","okay","okay","nice",0.5,0.5
34,12,"unknown","terrible","good","nice",0.725,0.7
34,13,"unknown","good","bad","nice",0.15,0.1
34,14,"unknown","good","amazing","nice",0.5,0.5
34,15,"unknown","amazing","bad","nice",0.2,0.1
34,16,"unknown","good","okay","nice",0.35,0.3
34,17,"unknown","good","terrible","nice",0.25,0.3
34,18,"unknown","terrible","amazing","nice",0.85,0.9
34,19,"unknown","bad","okay","nice",0.875,0.9
34,20,"unknown","okay","amazing","nice",0.675,0.7
34,21,"unknown","amazing","terrible","nice",0.275,0.3
34,22,"unknown","amazing","okay","nice",0.25,0.3
34,23,"unknown","bad","bad","nice",0.5,0.5
34,24,"unknown","okay","good","nice",0.575,0.5
34,25,"unknown","bad","good","nice",0.825,0.9
39,1,"unknown","okay","terrible","mean",0.5,0.5
39,2,"unknown","terrible","terrible","mean",0.35,0.3
39,3,"unknown","bad","okay","mean",0.25,0.3
39,4,"unknown","okay","okay","mean",0.5,0.5
39,5,"unknown","bad","terrible","mean",0.5,0.5
