"","score","utterance","polite","prob","cih","cil"
"94","3","great","impolite",0.289583333333333,0.152083333333333,0.15
"95","4","great","impolite",0.320833333333333,0.15,0.16046875
"96","5","great","impolite",0.366666666666667,0.164635416666667,0.158333333333333
"97","6","great","impolite",0.53125,0.14796875,0.1625
"98","7","great","impolite",0.725,0.05,0.0541666666666666
"99","8","great","impolite",0.81875,0.05,0.0520833333333333
"100","9","great","impolite",0.870833333333333,0.0604166666666667,0.05625
"101","0","not_bad","impolite",0.2375,0.118802083333333,0.11875
"102","1","not_bad","impolite",0.254166666666667,0.120833333333333,0.127083333333333
"103","2","not_bad","impolite",0.28125,0.13125,0.133385416666667
"104","3","not_bad","impolite",0.333333333333333,0.158333333333333,0.1521875
"105","4","not_bad","impolite",0.370833333333333,0.168802083333333,0.162552083333333
"106","5","not_bad","impolite",0.43125,0.15625,0.164583333333333
"107","6","not_bad","impolite",0.510416666666667,0.10625,0.12921875
"108","7","not_bad","impolite",0.654166666666667,0.0771354166666666,0.0708333333333333
"109","8","not_bad","impolite",0.595833333333333,0.0771354166666666,0.0791666666666666
"110","9","not_bad","impolite",0.547916666666667,0.108333333333333,0.1375
"111","0","not_great","impolite",0.429166666666667,0.108333333333333,0.122916666666667
"112","1","not_great","impolite",0.458333333333333,0.0958333333333334,0.122916666666667
"113","2","not_great","impolite",0.552083333333333,0.0958333333333333,0.08125
"114","3","not_great","impolite",0.6125,0.0750520833333332,0.0729166666666667
"115","4","not_great","impolite",0.660416666666667,0.0895833333333333,0.0875
"116","5","not_great","impolite",0.516666666666667,0.12296875,0.145885416666667
"117","6","not_great","impolite",0.45625,0.118802083333333,0.133385416666667
"118","7","not_great","impolite",0.372916666666667,0.0979166666666667,0.118854166666667
"119","8","not_great","impolite",0.26875,0.12921875,0.135416666666667
"120","9","not_great","impolite",0.233333333333333,0.13546875,0.12296875
